Resume,Category
"Developed REST APIs using Spring Boot and Java","Technical"
"Built Machine Learning models using Python and Scikit-learn","Technical"
"Created responsive web applications using React","Technical"
"Managed a team of 12 students during a hackathon","Leadership"
"Led the college coding club for two years","Leadership"
"Organized technical workshops for juniors","Leadership"
"Designed UI/UX prototypes using Figma","Creativity"
"Created social media campaigns and posters","Creativity"
"Wrote technical blogs about Artificial Intelligence","Creativity"
"Presented project demonstrations to clients","Communication"
"Conducted seminars on Cyber Security","Communication"
"Worked as a public speaking coordinator","Communication"
"Published research papers in Computer Science","Research"
"Performed data analysis for academic research","Research"
"Worked on Deep Learning research projects","Research"
